Rank,Company,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Number_of_employees,MarketCap_Updated_M,Revenues_M,RevenuePercentChange,Profits_M,Assets_M,CEO,HeadquartersCity,HeadquartersState,Website,CompanyType
928,Primerica,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,12,yes,no,n/a,3150.0,8777.0,2815.7,3.5,576.6,15027.7,Glenn J. Williams,Duluth,Georgia,https://www.primerica.com,Public
929,F5,Technology,Network and Other Communications Equipment,yes,no,no,no,16,yes,no,n/a,6492.0,11149.0,2813.2,4.4,394.9,5248.3,Fran?ois Locoh-Donou,Seattle,Washington,https://www.f5.com,Public
930,Matador Resources,Energy,"Mining, Crude-Oil Production",yes,yes,no,yes,-48,no,yes,n/a,395.0,8332.0,2806.8,-8.2,846.1,7727.0,Joseph Wm. Foran,Dallas,Texas,https://www.matadorresources.com,Public
931,Snowflake,Technology,Internet Services and Retailing,no,no,no,yes,0,no,no,n/a,7004.0,54007.0,2806.5,35.9,-836.1,8223.4,Sridhar Ramaswamy,Bozeman,Montana,https://www.snowflake.com,Public
932,Viasat,Technology,Network and Other Communications Equipment,yes,yes,no,no,-9,no,yes,n/a,6800.0,2267.0,2803.2,0.6,1084.8,7730.3,Mark D. Dankberg,Carlsbad,California,https://www.viasat.com,Public
933,California Resources,Energy,"Mining, Crude-Oil Production",yes,no,no,no,9,yes,no,n/a,970.0,3789.0,2801.0,3.5,564.0,3998.0,Francisco J. Leon,Long Beach,California,https://www.crc.com,Public
934,Peloton Interactive,"Hotels, Restaurants & Leisure","Toys, Sporting Goods",no,no,yes,no,-131,no,yes,n/a,3541.0,1572.0,2800.2,-21.8,-1261.7,2769.1,Karen Boone/Christopher Bruzzo,New York,New York,https://www.onepeloton.com,Public
935,Roblox,Media,Entertainment,no,yes,no,yes,0,no,no,n/a,2457.0,24116.0,2799.3,25.8,-1151.9,6168.1,David Baszucki,San Mateo,California,https://www.corp.roblox.com,Public
936,Installed Building Products,Engineering & Construction,Homebuilders,yes,no,no,yes,14,yes,no,n/a,10600.0,7339.0,2778.6,4.1,243.7,1981.3,Jeffrey W. Edwards,Columbus,Ohio,https://www.installedbuildingproducts.com,Public
937,First National of Nebraska,Financials,Commercial Banks,yes,no,no,no,0,no,no,n/a,4799.0,3265.0,2777.5,40.6,227.4,31285.9,Clarkson D. Lauritzen,Omaha,Nebraska,https://www.fnni.com,Public
938,Guess,Retailing,Specialty Retailers: Apparel,yes,no,no,no,10,yes,no,n/a,12000.0,1690.0,2776.5,3.3,198.2,2590.0,Carlos E. Alberini,Los Angeles,California,https://www.guess.com,Public
