Rank,Company,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Number_of_employees,MarketCap_Updated_M,Revenues_M,RevenuePercentChange,Profits_M,Assets_M,CEO,HeadquartersCity,HeadquartersState,Website,CompanyType
1,Walmart,Retailing,General Merchandisers,yes,no,no,no,0,no,no,no,2100000.0,559911.0,648125.0,6.0,15511.0,252399.0,C. Douglas McMillon,Bentonville,Arkansas,https://www.stock.walmart.com,Public
2,Amazon,Retailing,Internet Services and Retailing,yes,no,no,no,0,no,no,no,1525000.0,2005565.0,574785.0,11.8,30425.0,527854.0,Andrew R. Jassy,Seattle,Washington,https://www.amazon.com,Public
3,Apple,Technology,"Computers, Office Equipment",yes,no,no,no,1,yes,no,no,161000.0,3594309.0,383285.0,-2.8,96995.0,352583.0,Timothy D. Cook,Cupertino,California,https://www.apple.com,Public
4,UnitedHealth Group,Health Care,Health Care: Insurance and Managed Care,yes,no,no,yes,1,yes,no,no,440000.0,474339.0,371622.0,14.6,22381.0,273720.0,Andrew P. Witty,Minnetonka,Minnesota,https://www.unitedhealthgroup.com,Public
5,Berkshire Hathaway,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,2,yes,no,no,396500.0,937028.0,364482.0,20.7,96223.0,1069978.0,Warren E. Buffett,Omaha,Nebraska,https://www.berkshirehathaway.com,Public
6,CVS Health,Health Care,Health Care: Pharmacy and Other Services,yes,no,yes,no,0,no,no,no,259500.0,73653.0,357776.0,10.9,8344.0,249728.0,Karen S. Lynch,Woonsocket,Rhode Island,https://www.cvshealth.com,Public
7,Exxon Mobil,Energy,Petroleum Refining,yes,no,no,no,-4,no,yes,no,61500.0,516824.0,344582.0,-16.7,36010.0,376317.0,Darren W. Woods,Spring,Texas,https://www.exxonmobil.com,Public
8,Alphabet,Technology,Internet Services and Retailing,yes,no,no,no,0,no,no,no,182502.0,2315182.0,307394.0,8.7,73795.0,402392.0,Sundar Pichai,Mountain View,California,https://www.abc.xyz,Public
9,McKesson,Health Care,Wholesalers: Health Care,yes,no,no,no,0,no,no,no,48000.0,75007.0,276711.0,4.8,3560.0,62320.0,Brian S. Tyler,Irving,Texas,https://www.mckesson.com,Public
10,Cencora,Health Care,Wholesalers: Health Care,yes,no,no,yes,1,yes,no,no,44000.0,43758.0,262173.4,9.9,1745.3,62558.7,Steven H. Collis,Conshohocken,Pennsylvania,https://www.cencora.com,Public
11,Costco Wholesale,Retailing,General Merchandisers,yes,no,no,yes,1,yes,no,no,316000.0,376272.0,242290.0,6.8,6292.0,68994.0,Ron M. Vachris,Issaquah,Washington,https://www.costco.com,Public
12,JPMorgan Chase,Financials,Commercial Banks,yes,no,no,yes,11,yes,no,no,309926.0,603194.0,239425.0,54.7,49552.0,3875393.0,James Dimon,New York,New York,https://www.jpmorganchase.com,Public
13,Microsoft,Technology,Computer Software,yes,no,no,no,0,no,no,no,221000.0,3373970.0,211915.0,6.9,72361.0,411976.0,Satya Nadella,Redmond,Washington,https://www.microsoft.com,Public
14,Cardinal Health,Health Care,Wholesalers: Health Care,yes,no,no,yes,0,no,no,no,47520.0,22832.0,205012.0,13.0,261.0,43417.0,Jason M. Hollar,Dublin,Ohio,https://www.cardinalhealth.com,Public
15,Chevron,Energy,Petroleum Refining,yes,no,no,yes,-5,no,yes,no,45600.0,291950.0,200949.0,-18.4,21369.0,261632.0,Michael K. Wirth,San Ramon,California,https://www.chevron.com,Public
16,Cigna,Health Care,Health Care: Pharmacy and Other Services,yes,no,no,yes,-1,no,yes,no,71413.0,94148.0,195265.0,8.2,5164.0,152761.0,David M. Cordani,Bloomfield,Connecticut,https://www.thecignagroup.com,Public
17,Ford Motor,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,yes,2,yes,no,no,177000.0,56811.0,176191.0,11.5,4347.0,273310.0,James D. Farley Jr.,Dearborn,Michigan,https://www.ford.com,Public
18,Bank of America,Financials,Commercial Banks,yes,no,no,no,14,yes,no,no,212985.0,327595.0,171912.0,49.4,26515.0,3180151.0,Brian T. Moynihan,Charlotte,North Carolina,https://www.bankofamerica.com,Public
19,General Motors,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,yes,no,2,yes,no,no,163000.0,56222.0,171842.0,9.6,10127.0,273064.0,Mary T. Barra,Detroit,Michigan,https://www.gm.com,Public
20,Elevance Health,Health Care,Health Care: Insurance and Managed Care,yes,no,yes,yes,2,yes,no,no,104900.0,123335.0,171340.0,9.4,5987.0,108928.0,Gail K. Boudreaux,Indianapolis,Indiana,https://www.elevancehealth.com,Public
21,Citigroup,Financials,Commercial Banks,yes,no,yes,no,15,yes,no,no,237925.0,124251.0,156820.0,55.1,9228.0,2411834.0,Jane Fraser,New York,New York,https://www.citigroup.com,Public
22,Centene,Health Care,Health Care: Insurance and Managed Care,yes,no,yes,no,3,yes,no,no,67700.0,35221.0,153999.0,6.5,2702.0,84641.0,Sarah M. London,St. Louis,Missouri,https://www.centene.com,Public
23,Home Depot,Retailing,Specialty Retailers: Other,yes,no,no,no,-3,no,yes,no,463100.0,355454.0,152669.0,-3.0,15143.0,76530.0,Edward P. Decker,Atlanta,Georgia,https://www.homedepot.com,Public
24,Marathon Petroleum,Energy,Petroleum Refining,yes,no,no,yes,-8,no,yes,no,18200.0,58737.0,150307.0,-16.5,9681.0,85987.0,Maryann T. Mannen,Findlay,Ohio,https://www.marathonpetroleum.com,Public
25,Kroger,Food & Drug Stores,Food & Drug Stores,yes,no,no,no,-1,no,yes,no,414000.0,37620.0,150039.0,1.2,2164.0,50505.0,W. Rodney McMullen,Cincinnati,Ohio,https://www.thekrogerco.com,Public
26,Phillips 66,Energy,Petroleum Refining,yes,no,no,yes,-9,no,yes,no,14000.0,59383.0,149890.0,-14.7,7015.0,75501.0,Mark E. Lashier,Houston,Texas,https://www.phillips66.com,Public
27,Fannie Mae,Financials,Diversified Financials,yes,no,yes,yes,1,yes,no,no,8100.0,8585.0,141240.0,16.2,17408.0,4325437.0,Priscilla Almodovar,Washington,District Of Columbia,https://www.fanniemae.com,Public
28,Walgreens Boots Alliance,Food & Drug Stores,Food & Drug Stores,no,no,no,yes,-1,no,yes,no,268500.0,10100.0,139081.0,4.8,-3080.0,96628.0,Timothy Wentworth,Deerfield,Illinois,https://www.walgreensbootsalliance.com,Public
29,Valero Energy,Energy,Petroleum Refining,yes,no,no,yes,-11,no,yes,no,9897.0,48641.0,139001.0,-18.8,8835.0,63056.0,R. Lane Riggs,San Antonio,Texas,https://www.valero.com,Public
30,Meta Platforms,Technology,Internet Services and Retailing,yes,yes,no,no,1,yes,no,no,67317.0,1258678.0,134902.0,15.7,39098.0,229623.0,Mark Zuckerberg,Menlo Park,California,https://investor.fb.com,Public
31,Verizon Communications,Telecommunications,Telecommunications,yes,no,no,no,-5,no,yes,no,105400.0,171696.0,133974.0,-2.1,11614.0,380255.0,Hans E. Vestberg,New York,New York,https://www.verizon.com,Public
32,AT&T,Telecommunications,Telecommunications,yes,no,no,no,-2,no,yes,no,150470.0,133222.0,122428.0,1.4,14400.0,407060.0,John T. Stankey,Dallas,Texas,https://www.att.com,Public
33,Comcast,Telecommunications,Telecommunications,yes,no,no,no,-4,no,yes,no,186000.0,152786.0,121572.0,0.1,15388.0,264811.0,Brian L. Roberts,Philadelphia,Pennsylvania,https://www.comcastcorporation.com,Public
34,Wells Fargo,Financials,Commercial Banks,yes,no,no,no,13,yes,no,no,226000.0,201265.0,115340.0,39.2,19142.0,1932468.0,Charles W. Scharf,San Francisco,California,https://www.wellsfargo.com,Public
35,Goldman Sachs Group,Financials,Commercial Banks,yes,no,no,no,20,yes,no,no,45300.0,164412.0,108418.0,57.8,8516.0,1641594.0,David M. Solomon,New York,New York,https://www.goldmansachs.com,Public
36,Freddie Mac,Financials,Diversified Financials,yes,no,no,yes,9,yes,no,no,8020.0,4528.0,108050.0,24.6,10538.0,3280976.0,Michael T. Hutchins,McLean,Virginia,https://www.freddiemac.com,Public
37,Target,Retailing,General Merchandisers,yes,no,no,no,-4,no,yes,no,415000.0,69997.0,107412.0,-1.6,4138.0,55356.0,Brian C. Cornell,Minneapolis,Minnesota,https://www.target.com,Public
38,Humana,Health Care,Health Care: Insurance and Managed Care,yes,no,no,yes,4,yes,no,no,67600.0,46298.0,106374.0,14.5,2489.0,47065.0,James A. Rechtin,Louisville,Kentucky,https://www.humana.com,Public
39,State Farm Insurance,Financials,Insurance: Property and Casualty (Mutual),no,no,no,yes,5,yes,no,no,65054.0,-,104198.6,16.6,-6272.3,339484.7,Michael L. Tipsord,Bloomington,Illinois,https://www.statefarm.com,Private
40,Tesla,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,yes,no,yes,10,yes,no,no,140473.0,805719.0,96773.0,18.8,14997.0,106618.0,Elon Musk,Austin,Texas,https://www.tesla.com,Public
41,Morgan Stanley,Financials,Commercial Banks,yes,no,no,no,20,yes,no,no,80006.0,171065.0,96194.0,45.9,9087.0,1193693.0,Edward N. Pick,New York,New York,https://www.morganstanley.com,Public
42,Johnson & Johnson,Health Care,Pharmaceuticals,yes,no,no,no,-2,no,yes,no,131900.0,359173.0,95195.0,0.3,35153.0,167558.0,Joaquin Duato,New Brunswick,New Jersey,https://www.jnj.com,Public
43,Archer Daniels Midland,"Food, Beverages & Tobacco",Food Production,yes,no,no,no,-8,no,yes,no,41008.0,31347.0,93935.0,-7.5,3483.0,54631.0,Juan R. Luciano,Chicago,Illinois,https://www.adm.com,Public
44,PepsiCo,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,yes,2,yes,no,no,318000.0,225074.0,91471.0,5.9,9074.0,100495.0,Ramon L. Laguarta,Purchase,New York,https://www.pepsico.com,Public
45,United Parcel Service,Transportation,"Mail, Package, and Freight Delivery",yes,no,yes,no,-8,no,yes,no,382550.0,123329.0,90958.0,-9.3,6708.0,70857.0,Carol B. Tom?,Atlanta,Georgia,https://www.ups.com,Public
46,FedEx,Transportation,"Mail, Package, and Freight Delivery",yes,no,no,no,-5,no,yes,no,446400.0,74517.0,90155.0,-3.6,3972.0,87143.0,Rajesh Subramaniam,Memphis,Tennessee,https://www.fedex.com,Public
47,Walt Disney,Media,Entertainment,yes,no,no,yes,1,yes,no,no,199125.0,176598.0,88898.0,7.5,2354.0,205579.0,Robert A. Iger,Burbank,California,https://www.thewaltdisneycompany.com,Public
48,Dell Technologies,Technology,"Computers, Office Equipment",yes,yes,no,no,-14,no,yes,no,120000.0,97331.0,88425.0,-13.6,3211.0,82089.0,Michael S. Dell,Round Rock,Texas,https://www.delltechnologies.com/,Public
49,Lowe's,Retailing,Specialty Retailers: Other,yes,no,no,no,-10,no,yes,no,226000.0,132299.0,86377.0,-11.0,7726.0,41795.0,Marvin R. Ellison,Mooresville,North Carolina,https://www.lowes.com,Public
50,Procter & Gamble,Household Products,Household and Personal Products,yes,no,no,yes,1,yes,no,no,107000.0,388431.0,82006.0,2.3,14653.0,120829.0,Jon R. Moeller,Cincinnati,Ohio,https://www.pginvestor.com,Public
51,Energy Transfer,Energy,Pipelines,yes,no,no,yes,-8,no,yes,no,13786.0,55235.0,78586.0,-12.6,3935.0,113698.0,Thomas E. Long/Marshall S. McCrea III,Dallas,Texas,https://www.energytransfer.com,Public
52,Boeing,Aerospace & Defense,Aerospace & Defense,no,no,no,yes,6,yes,no,no,171000.0,109953.0,77794.0,16.8,-2222.0,137012.0,Kelly K. Ortberg,Arlington,Virginia,https://www.boeing.com,Public
53,Albertsons,Food & Drug Stores,Food & Drug Stores,yes,no,no,yes,0,no,no,no,198650.0,11333.0,77649.7,8.0,1513.5,26168.2,Vivek Sankaran,Boise,Idaho,https://www.albertsonscompanies.com,Public
54,Sysco,Wholesalers,Wholesalers: Food and Grocery,yes,no,no,yes,2,yes,no,no,71750.0,35755.0,76324.7,11.2,1770.1,22821.1,Kevin P. Hourican,Houston,Texas,https://www.sysco.com,Public
55,RTX,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,2,yes,no,no,185000.0,135104.0,68920.0,2.8,3195.0,161869.0,Christopher T. Calio,Arlington,Virginia,https://www.rtx.com,Public
56,General Electric,Industrials,Industrial Machinery,yes,no,no,no,-4,no,yes,no,125000.0,174655.0,67954.0,-11.2,9481.0,163045.0,H. Lawrence Culp Jr.,Boston,Massachusetts,https://www.ge.com,Public
57,Lockheed Martin,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,3,yes,no,no,122000.0,111303.0,67571.0,2.4,6920.0,52456.0,James D. Taiclet Jr.,Bethesda,Maryland,https://www.lockheedmartin.com,Public
58,American Express,Financials,Diversified Financials,yes,no,no,no,19,yes,no,no,74600.0,175510.0,67364.0,21.1,8374.0,261108.0,Stephen J. Squeri,New York,New York,https://www.americanexpress.com,Public
59,Caterpillar,Industrials,Construction and Farm Machinery,yes,no,no,yes,9,yes,no,no,113200.0,169100.0,67060.0,12.8,10335.0,87476.0,D. James Umpleby III,Irving,Texas,https://www.caterpillar.com,Public
60,MetLife,Financials,"Insurance: Life, Health (stock)",yes,no,no,no,-6,no,yes,no,45000.0,52929.0,66905.0,-4.3,1578.0,687584.0,Michel A. Khalaf,New York,New York,https://www.metlife.com,Public
61,HCA Healthcare,Health Care,Health Care: Medical Facilities,yes,no,no,yes,5,yes,no,no,265000.0,83022.0,64968.0,7.9,5242.0,56211.0,Samuel N. Hazen,Nashville,Tennessee,https://www.hcahealthcare.com,Public
62,Progressive,Financials,Insurance: Property and Casualty (Stock),yes,no,yes,yes,26,yes,no,no,61432.0,127155.0,62108.5,25.2,3902.4,88690.8,Susan Patricia  Griffith,Mayfield Village,Ohio,https://www.progressive.com,Public
63,IBM,Technology,Information Technology Services,yes,no,no,no,2,yes,no,no,296600.0,167994.0,61860.0,2.2,7502.0,135241.0,Arvind Krishna,Armonk,New York,https://www.ibm.com,Public
64,Deere,Industrials,Construction and Farm Machinery,yes,no,no,yes,17,yes,no,no,82956.0,102421.0,61251.0,16.5,10166.0,104087.0,John C. May,Moline,Illinois,https://www.deere.com,Public
65,Nvidia,Technology,Semiconductors and Other Electronic Components,yes,yes,no,yes,87,yes,no,no,29600.0,3159624.0,60922.0,125.9,29760.0,65728.0,Jensen Huang,Santa Clara,California,https://www.nvidia.com,Public
66,StoneX Group,Financials,Diversified Financials,yes,no,no,yes,-7,no,yes,no,4137.0,2516.0,60856.1,-7.8,238.5,21938.7,Sean M. O'Connor,New York,New York,https://www.stonex.com,Public
67,Merck,Health Care,Pharmaceuticals,yes,no,no,yes,2,yes,no,no,71000.0,324503.0,60115.0,1.4,365.0,106675.0,Robert M. Davis,Rahway,New Jersey,https://www.merck.com,Public
68,ConocoPhillips,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,-19,no,yes,no,9900.0,133994.0,58574.0,-28.7,10957.0,95924.0,Ryan M. Lance,Houston,Texas,https://www.conocophillips.com,Public
69,Pfizer,Health Care,Pharmaceuticals,yes,no,no,yes,-31,no,yes,no,88000.0,164898.0,58496.0,-41.7,2119.0,226501.0,Albert Bourla,New York,New York,https://www.pfizer.com,Public
70,Delta Air Lines,Transportation,Airlines,yes,no,no,yes,15,yes,no,no,103000.0,27753.0,58048.0,14.8,4609.0,73644.0,Edward H. Bastian,Atlanta,Georgia,https://www.delta.com,Public
71,TD Synnex,Wholesalers,Wholesalers: Electronics and Office Equipment,yes,no,no,no,-7,no,yes,no,28000.0,9836.0,57555.4,-7.7,626.9,29412.8,Patrick  Zammit/Richard T. Hume,Fremont,California,https://www.tdsynnex.com,Public
72,Publix Super Markets,Food & Drug Stores,Food & Drug Stores,yes,no,no,yes,6,yes,no,no,253000.0,-,57534.0,4.7,4349.0,34384.0,Kevin S. Murphy,Lakeland,Florida,https://www.publix.com,Private
73,Allstate,Financials,Insurance: Property and Casualty (Stock),no,no,no,no,11,yes,no,no,53200.0,44050.0,57094.0,11.1,-188.0,103362.0,Thomas J. Wilson,Northbrook,Illinois,https://www.allstate.com,Public
74,Cisco Systems,Technology,Network and Other Communications Equipment,yes,no,no,yes,8,yes,no,no,84900.0,191932.0,56998.0,10.6,12613.0,101852.0,Charles H. Robbins,San Jose,California,https://www.cisco.com,Public
75,Nationwide,Financials,Insurance: Property and Casualty (Mutual),no,no,no,no,8,yes,no,no,24118.0,-,54609.4,6.1,-45.2,290615.0,Kirt A. Walker,Columbus,Ohio,https://www.nationwide.com,Private
76,Charter Communications,Telecommunications,Telecommunications,yes,no,no,no,3,yes,no,no,101100.0,52350.0,54607.0,1.1,4557.0,147193.0,Christopher L. Winfrey,Stamford,Connecticut,https://www.charter.com,Public
77,AbbVie,Health Care,Pharmaceuticals,yes,no,no,no,-4,no,yes,no,50000.0,296719.0,54318.0,-6.4,4863.0,134711.0,Robert A. Michael,North Chicago,Illinois,https://www.abbvie.com,Public
78,New York Life Insurance,Financials,"Insurance: Life, Health (Mutual)",yes,no,no,yes,-7,no,yes,no,15384.0,-,54317.2,-7.1,804.6,408904.9,Craig DeSanto,New York,New York,https://www.newyorklife.com,Private
79,Intel,Technology,Semiconductors and Other Electronic Components,yes,no,no,no,-17,no,yes,no,124800.0,146692.0,54228.0,-14.0,1689.0,191572.0,Patrick P. Gelsinger,Santa Clara,California,https://www.intel.com,Public
80,TJX,Retailing,Specialty Retailers: Apparel,yes,no,no,yes,7,yes,no,no,349000.0,128622.0,54217.0,8.6,4474.0,29747.0,Ernie L. Herrman,Framingham,Massachusetts,https://www.tjx.com,Public
81,Prudential Financial,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,-14,no,yes,no,40366.0,45069.0,53979.0,-10.1,2488.0,721123.0,Charles F. Lowrey,Newark,New Jersey,https://www.prudential.com,Public
82,HP,Technology,"Computers, Office Equipment",yes,no,no,no,-19,no,yes,no,58000.0,36539.0,53718.0,-14.6,3263.0,37004.0,Enrique J. Lores,Palo Alto,California,https://www.hp.com,Public
83,United Airlines Holdings,Transportation,Airlines,yes,no,no,yes,13,yes,no,no,103300.0,14573.0,53717.0,19.5,2618.0,71104.0,J. Scott Kirby,Chicago,Illinois,https://www.united.com,Public
84,Performance Food Group,Wholesalers,Wholesalers: Food and Grocery,yes,no,no,no,7,yes,no,no,34825.0,9951.0,53354.7,13.1,397.2,12499.0,George L. Holm,Richmond,Virginia,https://www.pfgc.com,Public
85,Tyson Foods,"Food, Beverages & Tobacco",Food Production,no,no,no,no,-5,no,yes,no,139000.0,20461.0,52881.0,-0.8,-648.0,36251.0,Donnie D. King,Springdale,Arkansas,https://www.tysonfoods.com,Public
86,American Airlines Group,Transportation,Airlines,yes,no,no,yes,3,yes,no,no,132100.0,6947.0,52788.0,7.8,822.0,63058.0,Robert D. Isom,Fort Worth,Texas,https://www.aa.com,Public
87,Liberty Mutual Insurance Group,Financials,Insurance: Property and Casualty (Stock),yes,no,no,no,-1,no,yes,no,45000.0,-,52612.0,5.3,213.0,165208.0,Timothy M. Sweeney,Boston,Massachusetts,https://www.libertymutual.com,Private
88,Nike,Apparel,Apparel,yes,no,no,yes,5,yes,no,no,83700.0,107632.0,51217.0,9.6,5070.0,37531.0,John J. Donahoe II,Beaverton,Oregon,https://investors.nike.com,Public
89,Oracle,Technology,Computer Software,yes,no,yes,yes,12,yes,no,no,164000.0,394281.0,49954.0,17.7,8503.0,134384.0,Safra A. Catz,Austin,Texas,https://www.oracle.com,Public
90,Enterprise Products Partners,Energy,Pipelines,yes,no,no,yes,-18,no,yes,no,7500.0,64278.0,49715.0,-14.6,5532.0,70982.0,A. James Teague/W. Randall Fowler,Houston,Texas,https://www.enterpriseproducts.com,Public
91,Capital One Financial,Financials,Commercial Banks,yes,yes,no,no,15,yes,no,no,51987.0,55230.0,49484.0,29.0,4887.0,478464.0,Richard D. Fairbank,McLean,Virginia,https://www.capitalone.com,Public
92,Plains GP Holdings,Energy,Pipelines,yes,no,no,yes,-18,no,yes,no,4200.0,3862.0,48712.0,-15.1,198.0,28597.0,Wilfred C.W. Chiang,Houston,Texas,https://www.plains.com,Public
93,World Kinect,Energy,Energy,yes,no,no,yes,-23,no,yes,no,5289.0,1579.0,47710.6,-19.2,52.9,7375.3,Michael J. Kasbar,Miami,Florida,https://www.world-kinect.com,Public
94,AIG,Financials,Insurance: Property and Casualty (Stock),yes,no,no,no,-18,no,yes,no,25200.0,51514.0,46802.0,-17.1,3643.0,539306.0,Peter S. Zaffino,New York,New York,https://www.aig.com,Public
95,Coca-Cola,"Food, Beverages & Tobacco",Beverages,yes,no,no,no,5,yes,no,no,79100.0,273167.0,45754.0,6.4,10714.0,97703.0,James R. Quincey,Atlanta,Georgia,https://www.coca-colacompany.com,Public
96,TIAA,Financials,"Insurance: Life, Health (Mutual)",no,no,yes,no,7,yes,no,no,16023.0,-,45734.8,11.8,-1408.9,629369.9,Thasunda Brown Duckett,New York,New York,https://www.tiaa.org,Private
97,CHS,"Food, Beverages & Tobacco",Food Production,yes,no,no,yes,-7,no,yes,no,10609.0,-,45590.0,-4.6,1900.4,18957.4,Jay D. Debertin,Inver Grove Heights,Minnesota,https://www.chsinc.com,Private
98,Bristol-Myers Squibb,Health Care,Pharmaceuticals,yes,no,no,no,-3,no,yes,no,34100.0,81388.0,45006.0,-2.5,8025.0,95159.0,Christopher S. Boerner,Princeton,New Jersey,https://www.bms.com,Public
99,Dow,Chemicals,Chemicals,yes,no,no,no,-24,no,yes,no,35900.0,37463.0,44622.0,-21.6,589.0,57967.0,James R. Fitterling,Midland,Michigan,https://www.dow.com,Public
100,Best Buy,Retailing,Specialty Retailers: Other,yes,no,yes,yes,-6,no,yes,no,85000.0,18444.0,43452.0,-6.1,1241.0,14967.0,Corie S. Barry,Richfield,Minnesota,https://www.investors.bestbuy.com,Public
101,Thermo Fisher Scientific,Technology,"Scientific,Photographic and  Control Equipment",yes,no,no,no,-4,no,yes,no,122000.0,207913.0,42857.0,-4.6,5995.0,98726.0,Marc N. Casper,Waltham,Massachusetts,https://www.thermofisher.com,Public
102,Massachusetts Mutual Life Insurance,Financials,"Insurance: Life, Health (Mutual)",no,no,no,yes,2,yes,no,no,11323.0,-,42641.4,5.9,-771.6,397895.0,Roger W. Crandall,Springfield,Massachusetts,https://www.massmutual.com,Private
103,USAA,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,11,yes,no,no,37376.0,-,42493.4,17.1,1213.5,211637.6,Wayne Peacock,San Antonio,Texas,https://www.usaa.com,Private
104,General Dynamics,Aerospace & Defense,Aerospace & Defense,yes,no,yes,yes,1,yes,no,no,111600.0,78309.0,42272.0,7.3,3315.0,54810.0,Phebe N. Novakovic,Reston,Virginia,https://www.gd.com,Public
105,Travelers,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,7,yes,no,no,33133.0,48867.0,41364.0,12.1,2991.0,125978.0,Alan D. Schnitzer,New York,New York,https://www.travelers.com,Public
106,Warner Bros. Discovery,Media,Entertainment,no,no,no,no,12,yes,no,no,35300.0,18181.0,41321.0,22.2,-3126.0,122757.0,David M. Zaslav,New York,New York,https://wbd.com,Public
107,U.S. Bancorp,Financials,Commercial Banks,yes,no,no,no,42,yes,no,no,75465.0,66086.0,40624.0,48.3,5429.0,663491.0,Andrew J. Cecere,Minneapolis,Minnesota,https://www.usbank.com,Public
108,Abbott Laboratories,Health Care,Medical Products and Equipment,yes,no,no,no,-9,no,yes,no,114000.0,179113.0,40109.0,-8.1,5723.0,73214.0,Robert B. Ford,Abbott Park,Illinois,https://www.abbott.com,Public
109,Northrop Grumman,Aerospace & Defense,Aerospace & Defense,yes,no,yes,yes,4,yes,no,no,101000.0,63920.0,39290.0,7.3,2056.0,46544.0,Kathy J. Warden,Falls Church,Virginia,https://www.northropgrumman.com,Public
110,Northwestern Mutual,Financials,"Insurance: Life, Health (Mutual)",yes,no,no,no,1,yes,no,no,8239.0,-,38788.1,5.1,711.4,358828.6,John E. Schlifske,Milwaukee,Wisconsin,https://www.northwesternmutual.com,Private
111,Dollar General,Retailing,Specialty Retailers: Other,yes,no,no,yes,-3,no,yes,no,185800.0,27918.0,38691.6,2.2,1661.3,30795.6,Todd J. Vasos,Goodlettsville,Tennessee,https://www.dollargeneral.com,Public
112,PBF Energy,Energy,Petroleum Refining,yes,no,no,yes,-20,no,yes,no,3776.0,4790.0,38324.8,-18.2,2140.5,14387.8,Matthew C. Lucey,Parsippany,New Jersey,https://www.pbfenergy.com,Public
113,Uber Technologies,Technology,Internet Services and Retailing,yes,no,no,no,14,yes,no,no,30400.0,151051.0,37281.0,17.0,1887.0,38699.0,Dara Khosrowshahi,San Francisco,California,https://www.uber.com,Public
114,Honeywell International,Industrials,Industrial Machinery,yes,no,no,no,1,yes,no,no,95000.0,140474.0,36662.0,3.4,5658.0,61525.0,Vimal Kapur,Charlotte,North Carolina,https://www.honeywell.com,Public
115,Mondelez International,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,no,16,yes,no,no,91000.0,86317.0,36016.0,14.4,4959.0,71391.0,Dirk Van de Put,Chicago,Illinois,https://www.mondelezinternational.com,Public
116,Starbucks,"Hotels, Restaurants & Leisure",Food Services,yes,no,no,no,9,yes,no,no,381000.0,82404.0,35975.6,11.6,4124.5,29445.5,Rachel Ruggeri,Seattle,Washington,https://www.starbucks.com,Public
117,Qualcomm,Technology,Semiconductors and Other Electronic Components,yes,no,no,no,-19,no,yes,no,50000.0,232329.0,35820.0,-19.0,7232.0,51040.0,Cristiano R. Amon,San Diego,California,https://www.qualcomm.com,Public
118,Broadcom,Technology,Semiconductors and Other Electronic Components,yes,no,no,no,5,yes,no,no,20000.0,797940.0,35819.0,7.9,14082.0,72861.0,Hock E. Tan,Palo Alto,California,https://www.broadcom.com,Public
119,US Foods Holding,Wholesalers,Wholesalers: Food and Grocery,yes,no,no,yes,-2,no,yes,no,30000.0,12829.0,35597.0,4.5,506.0,13187.0,David E. Flitman,Rosemont,Illinois,https://www.usfoods.com,Public
120,D.R. Horton,Engineering & Construction,Homebuilders,yes,no,no,yes,0,no,no,no,13450.0,50108.0,35460.4,5.9,4745.7,32582.4,Paul J. Romanowski,Arlington,Texas,https://www.drhorton.com,Public
121,Philip Morris International,"Food, Beverages & Tobacco",Tobacco,yes,no,no,yes,7,yes,no,no,82700.0,163337.0,35174.0,10.7,7813.0,65304.0,Jacek Olczak,Stamford,Connecticut,https://www.pmi.com,Public
122,Paccar,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,yes,18,yes,no,no,32400.0,54799.0,35127.4,21.9,4600.8,40823.4,R. Preston Feight,Bellevue,Washington,https://www.paccar.com,Public
123,Salesforce,Technology,Computer Software,yes,yes,no,no,10,yes,no,no,72682.0,245021.0,34857.0,11.2,4136.0,99823.0,Marc R. Benioff,San Francisco,California,https://www.salesforce.com,Public
124,Nucor,Materials,Metals,yes,no,no,yes,-22,no,yes,no,32000.0,39530.0,34713.5,-16.4,4524.8,35340.5,Leon J. Topalian,Charlotte,North Carolina,https://www.nucor.com,Public
125,Jabil,Technology,Semiconductors and Other Electronic Components,yes,no,no,no,-4,no,yes,no,236000.0,13080.0,34702.0,3.7,818.0,19424.0,Michael K. Dastoor,St. Petersburg,Florida,https://www.jabil.com,Public
126,Lennar,Engineering & Construction,Homebuilders,yes,no,no,yes,-7,no,yes,no,12284.0,43389.0,34233.4,1.7,3938.5,39234.3,Jonathan M. Jaffe/Stuart A. Miller,Miami,Florida,https://www.lennar.com,Public
127,Eli Lilly,Health Care,Pharmaceuticals,yes,no,no,yes,15,yes,no,no,43000.0,903322.0,34124.1,19.6,5240.4,64006.3,David A. Ricks,Indianapolis,Indiana,https://www.lilly.com,Public
